"W1","W2","W3","W4","A","Y"
1,1,0.788737473776564,3,0,1
1,1,0.975800279527903,2,0,1
0,1,0.950994881568477,1,0,1
1,1,0.603742298670113,3,1,1
1,1,0.0303079844452441,2,0,1
0,1,0.796583170071244,1,0,0
0,1,0.645690495846793,2,0,1
1,0,0.349211352411658,1,1,1
0,0,0.3000822593458,2,1,0
0,1,0.0644710818305612,0,1,0
1,1,0.756955727469176,2,0,1
1,1,0.527400136692449,0,0,1
0,0,0.940095249097794,2,1,0
0,1,0.53550633485429,0,1,1
1,1,0.139312741579488,1,0,0
1,0,0.439931607572362,0,1,0
0,0,0.84377767238766,3,0,1
1,1,0.667663051048294,1,0,1
1,1,0.289681194350123,1,0,0
0,1,0.253584860591218,1,0,1
0,1,0.99122030264698,2,0,0
0,1,0.971965906908736,2,0,1
1,1,0.349320125766098,1,1,1
1,1,0.486664483556524,1,0,1
1,0,0.695326176704839,3,1,1
0,0,0.0892072743736207,2,0,0
1,1,0.0841024660039693,1,1,0
1,0,0.916812861571088,3,1,1
1,1,0.95606597722508,2,0,1
0,1,0.966695860493928,2,0,0
1,1,0.734299604780972,2,0,1
1,0,0.895443039946258,3,1,0
0,1,0.140319394879043,1,0,1
0,1,0.0334858722053468,1,0,0
1,1,0.935334568377584,1,0,0
0,1,0.166967887897044,3,1,1
1,0,0.712350107263774,2,0,0
0,0,0.729136748705059,3,1,0
0,1,0.31179133686237,2,0,1
1,1,0.153572231065482,1,0,1
0,1,0.651943567441776,0,0,1
0,0,0.307699568802491,2,1,0
0,1,0.274690109072253,3,0,1
0,1,0.894327640533447,3,0,1
0,0,0.995619255118072,3,0,0
0,0,0.127553182654083,2,1,0
1,0,0.963835929986089,2,1,0
1,0,0.687072596279904,2,0,0
1,0,0.895958527224138,2,1,1
1,0,0.728824143763632,1,1,0
0,1,0.763246470596641,0,0,1
1,1,0.296352142468095,1,0,1
1,0,0.84145525819622,3,0,0
0,1,0.211180875310674,1,0,1
0,1,0.786786828422919,2,0,1
0,0,0.462309275986627,2,1,1
0,1,0.904169348534197,2,1,1
0,0,0.547039726283401,2,1,0
0,0,0.585660880664364,3,1,1
1,1,0.416598803596571,2,0,1
1,1,0.0387496224138886,1,0,0
1,0,0.446741563500836,3,1,1
1,1,0.593878465471789,1,0,1
1,1,0.572045860812068,3,0,1
1,0,0.698092286009341,2,0,0
1,1,0.845750064821914,1,0,1
0,0,0.187965939519927,3,1,1
0,1,0.894812058890238,2,0,1
1,0,0.35177115816623,2,1,0
1,0,0.12738820258528,2,0,0
1,1,0.732969156699255,1,0,1
0,1,0.988053352572024,1,0,0
0,1,0.568367029074579,3,0,1
1,1,0.00998059846460819,0,0,0
1,1,0.750502549577504,2,0,1
1,1,0.295045049395412,1,0,1
0,1,0.042732689762488,0,0,0
0,1,0.113636446418241,1,0,0
0,1,0.0309702721424401,2,0,0
0,1,0.144202161347494,0,0,1
1,1,0.0100228569936007,1,0,0
0,1,0.767073784489185,2,1,1
0,1,0.485129093052819,2,0,1
0,0,0.272294566733763,1,1,0
0,1,0.713695904938504,3,0,1
1,1,0.145468569826335,1,0,0
1,1,0.0413924241438508,1,0,0
0,0,0.349828585982323,3,1,1
1,1,0.155828246846795,1,0,1
0,1,0.949516011634842,2,0,1
1,0,0.103660496184602,3,1,0
1,0,0.22344968165271,2,1,0
1,1,0.258106016553938,1,0,0
1,1,0.5806794334203,1,0,1
0,1,0.981920554768294,2,0,0
1,1,0.486748519586399,1,0,1
1,1,0.542445003520697,0,0,1
0,0,0.964830429293215,3,1,1
0,0,0.851129386108369,3,1,1
0,1,0.97263644495979,2,0,1
1,0,0.137474245624617,1,1,0
1,1,0.946287582395598,1,0,0
1,1,0.15677785105072,1,0,1
0,0,0.00106794736348093,2,1,0
1,1,0.314719143789262,2,0,1
0,0,0.442069214070216,2,1,0
0,1,0.178966452833265,2,0,0
